Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I8,leaning
larry,@larryoftheages,2024-11-22T00:54:13.000Z,True,I hate that we are at war in Ukraine . I hate that russia is using this for their own goals and at the end of this will probably end up with more of the lands . I hate that the most probable outcome to this is that Ukraine will ceased to being a country and all its lands will,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1742914938484723712/saBBmc2V_bigger.jpg,https://x.com/larryoftheages/status/1859762272622838206,tweet_id:1859762272622838206,0,0,0,0,0,0,0,0,1,0,0,0,0.19565460085868835,2.0,right
𝐓𝐫𝐨𝐭𝐬𝐤𝐲 𝐨𝐟 𝐭𝐡𝐞 𝟐𝟏𝐬𝐭 𝐂𝐞𝐧𝐭𝐮𝐫𝐲,@LTrotsky21,2024-11-22T00:54:11.000Z,False,The people of Ukraine want to end the war . It ' s their unelected dictators who do not want to end it .,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1318186473582153729/qO2bxPzB_bigger.png,https://x.com/LTrotsky21/status/1859762265983164445,tweet_id:1859762265983164445,0,0,0,0,0,0,0,0,1,0,0,0,0.1884976178407669,2.0,right
james jones,@kujuboman60,2024-11-22T00:54:08.000Z,False,Putin says Ukraine war is going global Source : Reuters HTTPURL,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1610500405481410561/swdDwNBK_bigger.jpg,https://x.com/kujuboman60/status/1859762253320323433,tweet_id:1859762253320323433,0,0,0,0,0,0,0,0,1,0,0,0,0.18349748849868774,1.0,centre
Left Coast Sparky,@SparkyCoast,2024-11-22T00:54:07.000Z,False,Not Mark Levin — Pro War — Pro Ukraine War — Pro Middle East War,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1634351667713015810/32qoLj1m_bigger.jpg,https://x.com/SparkyCoast/status/1859762248950182367,tweet_id:1859762248950182367,0,0,0,0,0,0,0,0,1,0,0,0,0.1960640698671341,2.0,right
Nath,@NathanDunn_,2024-11-22T00:54:00.000Z,False,"Promoting Russian expansionism when the West is at its weakest & desperately looking inwards . Nobody wants this war but he knows there are more people in UK / US / Europe than ever before who will be vocal about not supporting Ukraine , and even be pro-Russia to ‘ stick it to the man ' .",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1851385318366228480/z6rSobp5_bigger.jpg,https://x.com/NathanDunn_/status/1859762219417993677,tweet_id:1859762219417993677,0,0,0,0,0,0,0,0,1,0,0,0,0.19038733839988708,2.0,right
Léo,@estelar0001,2024-11-22T00:53:58.000Z,False,And not even for Storm Shadow ( today ' s image ) Russia is also on fire .,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1297724766481256448/2d8Tpr5l_bigger.jpg,https://x.com/estelar0001/status/1859762212249927739,tweet_id:1859762212249927739,0,0,0,0,0,0,0,0,1,0,0,0,0.1957084983587265,1.0,centre
JustAnotherSheila #MAHA,@anothersheil,2024-11-22T00:53:57.000Z,False,I honestly do n't blame Putin for his actions . We should not be funding this war in Ukraine let alone giving them munitions to start another endless war . This needs to end . I hope Putin and Trump can work together .,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1812940896154845185/adJ5Zi6__bigger.jpg,https://x.com/anothersheil/status/1859762205237051666,tweet_id:1859762205237051666,0,0,0,0,0,0,0,0,1,0,0,0,0.1942095011472702,2.0,right
Kyri,@kristekyri,2024-11-22T00:53:55.000Z,False,Neither the UK or Ukraine have the fire power of RussiaHow are you so confident to offer ultimatums ? The USA does n't want a nuclear war w / Russia - no one in their right mind wants WWIII,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1859455416947638272/0jVPbxrO_bigger.jpg,https://x.com/kristekyri/status/1859762200052969924,tweet_id:1859762200052969924,0,0,0,0,0,0,0,0,1,0,0,0,0.1960916668176651,1.0,centre
Occupy Schagen ☭,@OccupySchagen,2024-11-22T00:53:53.000Z,True,"#Times_Of_India . Nov 21 . Recommended . - P U T I N ' S T H R E A T H T O T H E E M P I R E - #Putin ' s FULL WARNING SPEECH : ' #Ukraine War , #NATO vs #Russia , Going Global . #Russia Has The Right To Strike BACK ' AND IT WILL : ..",0,0,0,3,"['#Times_Of_India', '#Putin', '#Ukraine', '#NATO', '#Russia', '#Russia']",[],"['\\U0001f1ee\\U0001f1f3', '\\U0001f1f7\\U0001f1fa', '\\U0001f1fa\\U0001f1e6', '\\U0001f974', '\\U0001f1f7\\U0001f1fa']",https://pbs.twimg.com/profile_images/861795865501077504/CMJOUMM4_bigger.jpg,https://x.com/OccupySchagen/status/1859762190191849940,tweet_id:1859762190191849940,0,0,0,0,0,0,0,0,1,0,0,0,0.19551491737365723,2.0,right
2S7 pion (trost),@Trotes936897,2024-11-22T00:53:46.000Z,False,"It is impossible to end the war in Ukraine "" in one day "" with Ukraine ' s victory",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1855835603855679488/sbZsIfue_bigger.jpg,https://x.com/Trotes936897/status/1859762161142333817,tweet_id:1859762161142333817,0,0,0,0,0,0,0,0,1,0,0,0,0.19682003557682037,2.0,right
Eaglet1776,@eaglet76,2024-11-22T00:53:38.000Z,False,"Get OBiden out of office ! He and or who ever is doing his job is heading us into a Nuclear war ! ! Days b4 Trump has talked for a way to end the Russian - Ukraine conflict peacefully ! In addition , obiden has approved the use of landmines . Treason ! !",0,0,0,8,[],[],[],https://pbs.twimg.com/profile_images/1523889474329104385/M0CBjkqK_bigger.png,https://x.com/eaglet76/status/1859762125218177390,tweet_id:1859762125218177390,0,0,0,0,0,0,0,0,1,0,0,0,0.1951914131641388,2.0,right
JonAustinReporter,@JonAustinjourn1,2024-11-22T00:53:35.000Z,False,#British politicians saying they stand with #Ukraine for as long as it takes sounds like they want a protracted war . Why has no one else tried to secure peace talks ? Why not wait to see what #DonaldTrump does before escalating the situation by providing missiles ?,0,0,0,4,"['#British', '#Ukraine', '#DonaldTrump']",[],[],https://pbs.twimg.com/profile_images/1092201479442784261/B27NMM64_bigger.jpg,https://x.com/JonAustinjourn1/status/1859762114958922189,tweet_id:1859762114958922189,0,0,0,0,0,0,0,0,1,0,0,0,0.19299139082431793,2.0,right
Cajunrebel,@realLapatriot,2024-11-22T00:53:29.000Z,True,"Russia should n't have invaded but what would you do with NATO on your doorstep . It was a clear red line Putin drew and Obama / Biden were willing to cross . Do n't oversimplify this stuff . There is no simple answer , but going to war with the largest nuclear superpower is not",0,0,0,18,[],[],[],https://pbs.twimg.com/profile_images/1859359430048944128/hBy47Q64_bigger.jpg,https://x.com/realLapatriot/status/1859762088165376510,tweet_id:1859762088165376510,0,0,0,0,0,0,0,1,1,0,0,0,0.18162696063518524,2.0,right
Andrea LaMont,@rotolady,2024-11-22T00:53:20.000Z,True,Ok fucking warmonger . You people are so stupid ! Do you really believe Ukraine can actually win a war against Russia ?,0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1849589795560767488/-Wlt82v7_bigger.jpg,https://x.com/rotolady/status/1859762053214503381,tweet_id:1859762053214503381,0,0,0,0,0,0,0,0,1,0,0,0,0.19431205093860626,2.0,right
Vinmeister7,@Vinmeister33,2024-11-22T00:53:16.000Z,True,First ever hypersonic missile used in war . Russia is done playing . Everyone CHILL OUT NOW ! Demand the powers to be to get out of this money laundering fucking scam . Those are more than nuclear capable . Bring attention to this ! ! !,0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1738054998947188736/Kj9rncWv_bigger.jpg,https://x.com/Vinmeister33/status/1859762034231083373,tweet_id:1859762034231083373,0,0,0,0,0,0,0,0,1,0,0,0,0.16184426844120026,2.0,right
hoocares,@Cryptonewbie11,2024-11-22T00:53:03.000Z,False,Lol ... Y'all better stop putting energy in Ukraine ' s war .. there ' s an in-house invasion . Hitler ' s new henchmen ( & woman ) are inside the gate .,0,0,0,3,[],[],['\\U0001f37f'],https://pbs.twimg.com/profile_images/1353738199038881793/aoNyVPlW_bigger.jpg,https://x.com/Cryptonewbie11/status/1859761979864514759,tweet_id:1859761979864514759,0,0,0,0,0,0,0,0,1,0,0,0,0.19647273421287537,2.0,right
"Jay Kung, Ph.D.",@Anti_imperiali,2024-11-22T00:53:02.000Z,False,It is well known that NAFO dogs are predominately Anglosaxon . Most of them have never even heard of Ukraine before the war .,0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1747780975726374912/yRDBBoHl_bigger.jpg,https://x.com/Anti_imperiali/status/1859761977402458500,tweet_id:1859761977402458500,0,0,0,0,0,0,0,0,1,0,0,0,0.1769111454486847,1.0,centre
Snarky Pupper,@Snarkydenleath,2024-11-22T00:52:59.000Z,False,"Your shoelaces are loose , and russia has to lose this war . We ' re not giving in to the bully with his empty threats and countless "" red lines """,0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1782515104262561794/MLn2a9-P_bigger.jpg,https://x.com/Snarkydenleath/status/1859761964123292045,tweet_id:1859761964123292045,0,0,0,0,0,0,0,0,1,0,0,0,0.18281017243862152,2.0,right
Andy McCormac,@andy_mccormac,2024-11-22T00:52:49.000Z,False,Supplying Ukraine with weapons will prevent World War III . Maybe you should read credible history about Neville Chamberlain instead of crap that Alex Jones publishes,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/822302803104120832/WhqgnbyF_bigger.jpg,https://x.com/andy_mccormac/status/1859761921865683394,tweet_id:1859761921865683394,0,0,0,0,0,0,0,0,1,0,0,0,0.19361597299575806,2.0,right
Dessi,@gizzerd,2024-11-22T00:52:47.000Z,True,"Why are UK taxpayers paying for these things for Ukraine ? for more wars and destruction at a huge cost ! NHS , Roads , infrastructure , good pensions and less crime is wanted in UK not war",0,0,0,5,[],"['@UKLabour', '@CWU', '@10DowningStreet', '@RachelReevesMP', '@georgegalloway', '@DailyMirror', '@DailyMailUK']",['\\U0001f1ec\\U0001f1e7'],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/gizzerd/status/1859761914034913686,tweet_id:1859761914034913686,0,0,0,0,0,0,0,0,1,0,0,0,0.19122649729251862,2.0,right
STARMSCREAM,@FebwAbdw,2024-11-22T00:52:42.000Z,False,Being the Kremlin ' s creature is when you consistently condemn Russia and ask if a new development is going to be considered to be an act of war,0,0,0,26,[],[],['\\U0001f921'],https://pbs.twimg.com/profile_images/1808638704186982400/firZLWXb_bigger.jpg,https://x.com/FebwAbdw/status/1859761893394743388,tweet_id:1859761893394743388,0,0,0,0,0,0,0,0,1,0,0,0,0.19418023526668549,2.0,right
Scotty Fifer,@nevnukemonster,2024-11-22T00:52:40.000Z,True,"No they are not , they are fooling them selves.Russia , I believe have been using old equipment while the new is ready , and very new and , I think they do n't want to use any thing they do not want war .",0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1858418582448930817/AXuJlbn__bigger.jpg,https://x.com/nevnukemonster/status/1859761883055890928,tweet_id:1859761883055890928,0,0,0,0,0,0,0,0,1,0,0,0,0.1970493197441101,2.0,right
Cláudio Jardim,@Claudio_s_j,2024-11-22T00:52:37.000Z,False,"There are no heroes in war , the US , Russia , Ukraine and all that f Europe are to blame ! ! ! They serve the military industrial complex . They ' re making big bucks",0,0,0,26,[],[],[],https://pbs.twimg.com/profile_images/1777154234045108224/zs2ScFRl_bigger.jpg,https://x.com/Claudio_s_j/status/1859761872649785469,tweet_id:1859761872649785469,0,0,0,0,0,0,0,0,1,0,0,0,0.19322583079338074,2.0,right
TMG △,@PunishedTMG_,2024-11-22T00:52:36.000Z,False,"russia was the first ever country in history to use ICBMs in combatrussia turned a stripe of Ukraine from north to south a no man ' s land straight from world war 1russia is quite literally having a "" human safari "" , hunting civillians with drones and "" le ebil west "" is escalating ?",0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1839996216597200896/EFZJOoUH_bigger.jpg,https://x.com/PunishedTMG_/status/1859761868941951017,tweet_id:1859761868941951017,0,0,0,0,0,0,0,0,1,0,0,0,0.19656586647033691,2.0,right
Red Orc Destroyer,@OrcRedDestroyer,2024-11-22T00:52:22.000Z,False,Ukraine attacking Russia targets while they offer peace talks . The only war criminals are Biden and Zelensky .,0,0,0,32,[],[],[],https://pbs.twimg.com/profile_images/1844504795207360512/5EQnNNV8_bigger.jpg,https://x.com/OrcRedDestroyer/status/1859761808049090679,tweet_id:1859761808049090679,0,0,0,0,0,0,0,0,1,0,0,0,0.1949189007282257,2.0,right
Resd Broker,@CaliCoot23,2024-11-22T00:52:18.000Z,False,This is insanity It ' s like a hand is just covering Ukraine with bombs on every finger just letting them rain down Wtf is Ukraine thinking like seriously This war is not even fair . It ' s like fighting a drunk guy that gets hit falls and jumps back up like he has a chance,0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1801351967413047299/CQY_WsrA_bigger.jpg,https://x.com/CaliCoot23/status/1859761792647561543,tweet_id:1859761792647561543,0,0,0,0,0,0,0,0,1,0,0,0,0.19639277458190918,2.0,right
The Smoker,@2023_ft,2024-11-22T00:52:16.000Z,False,"Russians do n't even believe the nonsense you post , Fruity Russian paid to invade and wage war in Ukraine in 2014",0,0,0,3,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1621628387298263040/H-ApzNCR_bigger.jpg,https://x.com/2023_ft/status/1859761783214571834,tweet_id:1859761783214571834,0,0,0,0,0,0,0,0,1,0,0,0,0.19221177697181702,2.0,right
