,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,cleaned_tweets
0,Domidest,@Domidest,2024-11-20T08:24:34.000Z,False,"When the borderline between Gaza & Egypt is like a fortress, how do you explain this “chicken fence” along the Israeli boundary ?!?!?",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1853473393418334208/BjyPtdK-_bigger.jpg,https://x.com/Domidest/status/1859150833239134383,tweet_id:1859150833239134383,borderline gaza egypt like fortress explain chicken fence along israeli boundary
1,V PALESTINE,@V_Palestine20,2024-11-20T08:24:33.000Z,False,"Palestine supporters staged a protest at a McDonald's in Paris, urging people to boycott the chain for its complicity in the Israeli genocide in Gaza.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1509265141606588422/NlAuDdqn_bigger.jpg,https://x.com/V_Palestine20/status/1859150827648143551,tweet_id:1859150827648143551,palestine supporter staged protest mcdonald paris urging people boycott chain complicity israeli genocide gaza
2,Ari Z,@officialalizee,2024-11-20T08:24:31.000Z,False,There is no TV or electricity in Gaza. No one knows about the reward. So stop lying and spouting hate. People are busy trying not to die. Also most hostages are dead by Israeli missiles on buildings.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1393944785824755716/87WmYjhR_bigger.jpg,https://x.com/officialalizee/status/1859150820299681988,tweet_id:1859150820299681988,tv electricity gaza one know reward stop lying spouting hate people busy trying die also hostage dead israeli missile building
3,Equeen Love,@NENEMUPIYA,2024-11-20T08:24:30.000Z,False,As expected...the world is trying to fight Israel,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1802698168921882624/2aVrDmGp_bigger.png,https://x.com/NENEMUPIYA/status/1859150816273109421,tweet_id:1859150816273109421,expected world trying fight israel
4,PALESTINE ONLINE,@OnlinePalEng,2024-11-20T08:24:26.000Z,True,"Palestine supporters staged a protest at a McDonald's in Paris, urging people to boycott the chain for its complicity in the Israeli genocide in Gaza.",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1711798879178379264/J-f5ZFCB_bigger.jpg,https://x.com/OnlinePalEng/status/1859150800993346022,tweet_id:1859150800993346022,palestine supporter staged protest mcdonald paris urging people boycott chain complicity israeli genocide gaza
5,Hakan,@Rebelty_8,2024-11-20T08:24:24.000Z,False,Who is going to stop israel now.  Iran is chickening out !!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1826578523290525696/Fqq6jc7H_bigger.jpg,https://x.com/Rebelty_8/status/1859150792365654124,tweet_id:1859150792365654124,going stop israel iran chickening
6,jonaleeno Hewington,@JHewington,2024-11-20T08:24:17.000Z,False,Return the hostages if ceasefire is to be even considered sounds   a great option and sense for also saving lives of the instigaters of the attempted genocide on Israel!,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1537204946159996930/h05gVemu_bigger.jpg,https://x.com/JHewington/status/1859150763110322412,tweet_id:1859150763110322412,return hostage ceasefire even considered sound great option sense also saving life instigaters attempted genocide israel
7,Mohammad son of Gaza,@MsbhMhmd9335,2024-11-20T08:24:17.000Z,False,Please do not ignore this and donate to put a smile on the faces of the children of Gaza https://chuffed.org/project/help-mohamed-and-his-family-survive-the-unrelenting-onslaught-on-gazan-civilians…,0,0,0,0,[],[],"['\\U0001f64f', '\\U0001f1f5\\U0001f1f8', '\\U0001f494', '\\U0001f494']",https://pbs.twimg.com/profile_images/1814196759037460480/IO4E-R8h_bigger.jpg,https://x.com/MsbhMhmd9335/status/1859150759981470088,tweet_id:1859150759981470088,please ignore donate put smile face child gaza http
8,Jim Roberts,@JaPatRob,2024-11-20T08:24:16.000Z,True,"Kamala & the Democrat Party has a new platform to shine in. 

Bugs (like the bunny)'s profile says it all:
   ""Free Palestine. Filmmaker, mtg player, model. Neon
    Genderless Evangelion. 18+ only, minors DNI""",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1716494794271129609/lFPOLT4d_bigger.jpg,https://x.com/JaPatRob/status/1859150755329925573,tweet_id:1859150755329925573,kamala democrat party new platform shine bug like bunny profile say free palestine filmmaker mtg player model neon genderless evangelion minor dni
9,MickeyP,@M111EKY_P,2024-11-20T08:24:14.000Z,True,What right does Israel have to demand anything from people going in and out of The West Bank and Gaza? #NotYourLand,0,0,0,1,['#NotYourLand'],[],[],https://pbs.twimg.com/profile_images/1846971770651205632/q_zsF6m6_bigger.jpg,https://x.com/M111EKY_P/status/1859150747251737030,tweet_id:1859150747251737030,right israel demand anything people going west bank gaza notyourland
