Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
callmefree,@callmefree1,2024-11-20T08:06:51.000Z,False,Benjamin Netanyahu makes triumphant visit to Gaza,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1017056587192717312/6DaX_fzW_bigger.jpg,https://x.com/callmefree1/status/1859146372181545112,tweet_id:1859146372181545112
SACC Campaign,@SACC_Campaign,2024-11-20T08:06:49.000Z,False,Leonardo Arms factory in Edinburgh blockaded over its supply of components for weapons Israel uses for genocide in Gaza.#ArmsEmbargoOnIsrael,0,0,0,0,['#ArmsEmbargoOnIsrael'],[],[],https://pbs.twimg.com/profile_images/1815487695671431168/lVzJSP38_bigger.jpg,https://x.com/SACC_Campaign/status/1859146366586339459,tweet_id:1859146366586339459
anon-dualist,@adva1ta,2024-11-20T08:06:49.000Z,False,"If Israel has nuclear weapons they should declare them. Share a single source of them declaring nukes. 

They can’t bc the world will take their nukes away like South Africa

I know it hurts buddy, but Israel is nothing less than an American entity ",0,0,0,0,[],[],['\\U0001f618'],https://pbs.twimg.com/profile_images/1822874232176660480/7wEUJ74k_bigger.jpg,https://x.com/adva1ta/status/1859146366196609064,tweet_id:1859146366196609064
Rhymxr (18+),@Rhymxr,2024-11-20T08:06:49.000Z,False,If only there was a way they didn’t have to be so gosh darn tired. Maybe if Israel called off its vicious hounds killing innocent lives?,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1840185024672415744/bUUwmwM4_bigger.jpg,https://x.com/Rhymxr/status/1859146365999120603,tweet_id:1859146365999120603
Guardians of Greatness™,@GogExperience,2024-11-20T08:06:49.000Z,False,"Israel are fatalists. Israel wants WW3.Israel controls Biden.
China will join Russia 
the eu & usa will take a beating.

there is no reason for africa to be bombed therefore africa will get a chance to develop",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1844501324492058629/EMYRBd8p_bigger.jpg,https://x.com/GogExperience/status/1859146365894295689,tweet_id:1859146365894295689
AyazBsc,@Ayazbsc,2024-11-20T08:06:49.000Z,True,Gaza Palestine sirya Lebanon Yemen Iran Iraq has the right to defend themselves ,0,0,0,0,[],[],"['\\U0001f525', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1252884157711048706/HoAKOAgx_bigger.jpg,https://x.com/Ayazbsc/status/1859146365684584584,tweet_id:1859146365684584584
Leo,@Leo1637281,2024-11-20T08:06:47.000Z,False,Fk Israel love Iran love Hamas,0,0,0,0,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/Leo1637281/status/1859146357509947783,tweet_id:1859146357509947783
Shiv Gaffney,@ShivGaffney,2024-11-20T08:06:47.000Z,False," #Gaza #medication shortages - in 9.24  reported that 65% #insulin requirements were not available 

Alsowarming to hear about Mohamed Hamad Mohammed Mansour & others' efforts to securemeds https://newarab.com/features/charity-pharmacy-tent-providing-lifeline-gazans…More info here  https://opencollective.com/aid4gaza-programme/contribute/medications-and-medical-supplies-for-5-medical-teams-81057…",0,0,0,0,"['#Gaza', '#medication', '#insulin']",['@NRC_Norway'],"['\\U0001f494', '\\U0001f62d', '\\u2764\\ufe0f', '\\U0001f499', '\\U0001f4b0', '\\U0001f4b0']",https://pbs.twimg.com/profile_images/1758575486286888960/hnSAXDbu_bigger.jpg,https://x.com/ShivGaffney/status/1859146356151013828,tweet_id:1859146356151013828
Muhammad Waseem,@wasim2433,2024-11-20T08:06:47.000Z,False,He is so cheeky.He wants to show American that ik is against Israel and we are not .,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1715256958171959296/wvZ3s5UV_bigger.jpg,https://x.com/wasim2433/status/1859146355601514535,tweet_id:1859146355601514535
Amr Badran,@BadranAmr,2024-11-20T08:06:43.000Z,True,"Now imagine what the #zionists did when no one watched?

Make an #album with #pictures of #Children #Killed or #Amputated in #Gaza and send it to the #people of #america and #europe with the title:

“#YourTaxMoney!”#FreePalestine#StrikeForGaza#Gaza_Genocide",0,0,0,0,"['#zionists', '#album', '#pictures', '#Children', '#Killed', '#Amputated', '#Gaza', '#people', '#america', '#europe', '#YourTaxMoney', '#FreePalestine', '#StrikeForGaza', '#Gaza', '_Genocide']",[],[],https://pbs.twimg.com/profile_images/473708327830958080/sFOFfiRR_bigger.jpeg,https://x.com/BadranAmr/status/1859146341336694792,tweet_id:1859146341336694792
Troy,@Troy78404758,2024-11-20T08:06:43.000Z,True,Gaza Hostage gracefully DESTROYS UCLA student. #israel #gaza https://youtube.com/shorts/EGzQPPDshU4?si=-85HaGrpRPGhzO4m… via ,0,0,0,0,"['#israel', '#gaza']",['@YouTube'],[],https://pbs.twimg.com/profile_images/1467250260309266434/Hj18j9IZ_bigger.jpg,https://x.com/Troy78404758/status/1859146339751256391,tweet_id:1859146339751256391
Irene Rusman,@irusman,2024-11-20T08:06:43.000Z,True,"Israel has a problem very similar to the american one: neo-communist media and political lawfare against common sense leaders. The exit poll you reference is not reliable at all. The places where jewish vote was really important, delivered the victory to republicans.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1834818867/image_bigger.jpg,https://x.com/irusman/status/1859146339613094175,tweet_id:1859146339613094175
Kenny cairns,@kcandthewinis,2024-11-20T08:06:41.000Z,True,"Well done , shame on uk , who s planes and drones fly over Palestine for 411 days map for Jews to bomb  well done respect .",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1767636150208901120/yX3O9VLn_bigger.jpg,https://x.com/kcandthewinis/status/1859146332234973311,tweet_id:1859146332234973311
Andrew,@Reedboy08,2024-11-20T08:06:40.000Z,True,"Next time someone says ""Free Palestine"", ask them to watch this and educate themselves. This has totally blown my tiny little mind!",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1072822638995783680/iRO8_iis_bigger.jpg,https://x.com/Reedboy08/status/1859146328577560898,tweet_id:1859146328577560898
FREE PALESTINE,@lashingiris,2024-11-20T08:06:40.000Z,False,Seriously. Like i do agree its beautiful artwork so i get apreciating it... but as a tattoo choice?  with THAT subject matter? ,0,0,0,0,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1749771244960972800/IZIccWKo_bigger.jpg,https://x.com/lashingiris/status/1859146327742984587,tweet_id:1859146327742984587
Train No Ceres,@sv_gr22,2024-11-20T08:06:38.000Z,False,"Currently, because of what Europe did, the suffering of the Palestinians has not stopped, but the media does not report because it is biased towards Zionists. Here is an American Jew explaining why Israel is an apartheid state.",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1795055991160967168/1mNUWJWg_bigger.jpg,https://x.com/sv_gr22/status/1859146319614415346,tweet_id:1859146319614415346
Sharon Khan,@SharonKhan19,2024-11-20T08:06:38.000Z,False,"Palestine will be free, however much the haters hate it.. ",0,0,0,0,[],[],"['\\U0001f349', '\\U0001f1f5\\U0001f1f8']",https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/SharonKhan19/status/1859146318175686902,tweet_id:1859146318175686902
The White King,@TheWhiteKing88,2024-11-20T08:06:37.000Z,True,I wish I could make 72% returns on my investments.  Youre a financial genius or a pedophile spy for Israel .,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1845654007370461196/d87rjbEs_bigger.jpg,https://x.com/TheWhiteKing88/status/1859146314195292471,tweet_id:1859146314195292471
India Today NE,@IndiaTodayNE,2024-11-20T08:06:35.000Z,True,"Israel Prime Minister Benjamin Netanyahu, on November 19 made a rare visit to Gaza, the epicenter of the ongoing war between the Israeli military and Hamas militants.",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1543675771750821888/m31_cC1T_bigger.jpg,https://x.com/IndiaTodayNE/status/1859146308482646489,tweet_id:1859146308482646489
Kevin Skaggs,@KevinSkaggs1987,2024-11-20T08:06:35.000Z,False,"Those are pro Palestine protesters. Your inability to condemn it, has lead to it. Bring on the asylum seekers and flood European countries.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1674699267397615617/o8tbPX4e_bigger.jpg,https://x.com/KevinSkaggs1987/status/1859146306947608804,tweet_id:1859146306947608804
