Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I8,leaning
Islamist Cannibal,@Raviagrawal300,2025-05-06T17:39:28.000Z,True,"Attension India ' s National Disaster Management Authority ( NDMA ) has released a video on war preparations amid rising tensions between India and Pakistan . The video outlines civil defense measures , including air raid drills and blackout protocols . Nuclear war in",0,0,0,120,[],[],"['\\u26a0\\ufe0f', '\\U0001f6a8', '\\U0001f1ee\\U0001f1f3', '\\U0001f1f5\\U0001f1f0']",https://pbs.twimg.com/profile_images/1866139561132204032/VwZUxyMx_bigger.jpg,https://x.com/Raviagrawal300/status/1919809250244886544,1919809250244886544,0,0,0,0,0,0,0,0,1,0,0,0,0.19130127131938934,1.0,centre
Ashutosh Singh,@reach_ashutosh,2025-05-06T17:35:48.000Z,True,"India to conduct nationwide emergency drills on May 7 amid rising tensions with Pakistan . Measures include air raid sirens , blackout simulations , and civilian training across 244 districts . Stay united , Stay informed and prepared . #IndiaSafetyDrill #MockDrill",0,0,0,82,"['#IndiaSafetyDrill', '#MockDrill']",[],[],https://pbs.twimg.com/profile_images/1889478361187065856/9DJvs0Gu_bigger.jpg,https://x.com/reach_ashutosh/status/1919808329833922897,1919808329833922897,0,0,0,0,0,0,0,0,1,0,0,0,0.1900625079870224,1.0,centre
Farooq Hassan,@FarooqH65315549,2025-05-06T17:34:42.000Z,False,"You guys have lost war on the diplomatic front and all world powers including some old friends of India are standing with Pakistan period . Now try military , see what will happen with you . Any drills wo n't save you . Bring it on but plz hurry as it is getting taken too long",0,0,0,66,[],[],['\\U0001f971'],https://pbs.twimg.com/profile_images/948267568049029120/Ktkwq7xC_bigger.jpg,https://x.com/FarooqH65315549/status/1919808052980584774,1919808052980584774,0,0,0,0,0,0,0,0,1,0,0,0,0.1925712525844574,2.0,right
NDTV WORLD,@NDTVWORLD,2025-05-06T17:26:07.000Z,True,"#TheWorldReport with | Pahalgam Terror Attack : UNSC Corners Pakistan , India Activates Military Drills",0,0,0,3.2K,['#TheWorldReport'],"['@NewshoundArjun', '@nazir_masoodi']",[],https://pbs.twimg.com/profile_images/1828793877559422976/RsO_umqk_bigger.jpg,https://x.com/NDTVWORLD/status/1919805893514035260,1919805893514035260,0,0,0,0,0,0,0,0,1,0,0,0,0.184553325176239,1.0,centre
General Aldo Raine,@_aldo_apache,2025-05-06T17:20:57.000Z,False,India to Stage Nationwide Mock Drills Amid Tensions With Pakistan | Vant ... HTTPURL ... via,0,0,0,41,[],['@YouTube'],[],https://pbs.twimg.com/profile_images/1300112680154550277/SbFeJ423_bigger.jpg,https://x.com/_aldo_apache/status/1919804591081709816,1919804591081709816,0,0,0,0,0,0,0,0,1,0,0,0,0.16160891950130463,1.0,centre
Rajat Devgan,@devganrajat9,2025-05-06T17:20:35.000Z,True,"Market Outlook For May 07 , 2025 HTTPURL – US FED Policy Announcement US market sentiment will be key to watch Amid India-Pakistan tensions , mock security drills across states on 7 May Home",0,0,0,193,[],"['@devganrajat9', '@BizTakOfficial', '@IndiaToday']","['\\U0001f449\\U0001f3fb', '\\U0001f3e6', '\\U0001f30d', '\\u26a0\\ufe0f', '\\U0001f3db\\ufe0f']",https://pbs.twimg.com/profile_images/1005717573785120768/670K6vRc_bigger.jpg,https://x.com/devganrajat9/status/1919804499130253675,1919804499130253675,0,0,0,0,0,0,0,1,0,0,0,0,0.17733556032180786,,
Terror Alarm,@Terror_Alarm,2025-05-06T17:11:34.000Z,True,"Breaking : India - Pakistan nuclear war , maybe this week . India ' s National Disaster Management Authority ( NDMA ) , releases video on war preparedness amid rising tensions . The video outlines civil defense measures , including air raid drills and blackout protocols",0,0,0,3.8K,[],[],"['\\U0001f6a8', '\\U0001f6a8', '\\U0001f1ee\\U0001f1f3', '\\U0001f1f5\\U0001f1f0']",https://pbs.twimg.com/profile_images/1879310856476835840/gPG916WW_bigger.jpg,https://x.com/Terror_Alarm/status/1919802228933550159,1919802228933550159,0,0,0,0,0,0,0,0,1,0,0,0,0.15420009195804596,1.0,centre
Grok,@grok,2025-05-06T17:11:01.000Z,True,"The video ' s authenticity is uncertain , as no recent reports confirm military activity in Tanda , Gujrat , Pakistan , around May 6 , 2025 . While it may reflect ongoing India-Pakistan tensions , especially after the Pahalgam attack and India ' s mock drills , the specific claims lack",0,0,0,91,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1919802093696942251,1919802093696942251,0,0,0,0,0,0,0,0,1,0,0,0,0.19491316378116608,1.0,centre
Firstpost,@firstpost,2025-05-06T17:05:02.000Z,True,#VantageOnFirstpost : India is all set to stage nationwide civil defence drills on Wednesday amid escalating tensions with Pakistan . What is the significance of these mock drills ? tells you .,0,0,0,1.3K,['#VantageOnFirstpost'],['@Palkisu'],[],https://pbs.twimg.com/profile_images/1690916539934097408/xIbOaCb7_bigger.jpg,https://x.com/firstpost/status/1919800587161633046,1919800587161633046,0,0,0,0,0,0,0,0,1,0,0,0,0.1871311515569687,1.0,centre
Ask Perplexity,@AskPerplexity,2025-05-06T17:03:39.000Z,True,"The image shows a historical figure in a sari , likely from the era of the 1971 India-Pakistan War , a period when Prime Minister Indira Gandhi led India through significant military and civil defence preparations . During this time , India conducted extensive mock drills nationwide ,",0,0,0,83,[],[],[],https://pbs.twimg.com/profile_images/1883596510858006528/fvRvFT2g_bigger.jpg,https://x.com/AskPerplexity/status/1919800239667523651,1919800239667523651,0,0,0,0,0,0,0,0,1,0,0,0,0.19208046793937683,1.0,centre
