Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Wonho Chung,@saber_psvm,2024-11-07T14:05:20.000Z,False,"US elections - South Koreans' favorabilityKamala Harris - 71%Donald Trump - 16%

Korea Gallup, Sep 10-12

Most recent one I could ifnd",0,0,0,26,[],[],[],https://pbs.twimg.com/profile_images/1853683398075973632/LHWh_eWj_bigger.jpg,https://x.com/saber_psvm/status/1854525547923279952,tweet_id:1854525547923279952
Gist Finder,@Gistfinder_ng,2024-11-07T13:50:41.000Z,False,"Nigerians seen celebrating the USA President Elect, Donald Trump's victory in grand style.#gistfinder #donaldtrump  #usaelections #nigerians #uselections2024 #uselections #usaelections2024 Kamala Harris",0,0,0,33,"['#gistfinder', '#donaldtrump', '#usaelections', '#nigerians', '#uselections2024', '#uselections', '#usaelections2024']",[],[],https://pbs.twimg.com/profile_images/1813695490581487616/G0hD6in3_bigger.jpg,https://x.com/Gistfinder_ng/status/1854521859695370625,tweet_id:1854521859695370625
Gambling.com,@gambling_com,2024-11-07T12:52:00.000Z,True," 2028 US Presidential Election Odds  Donald Trump triumphed over Democratic candidate Kamala Harris in November's presidential election!

Who’s next in line for the White House? Check out the latest #USElections odds here ",0,0,0,120,['#USElections'],[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f5f3\\ufe0f', '\\U0001f447']",https://pbs.twimg.com/profile_images/1757083595636617216/90hUFt60_bigger.jpg,https://x.com/gambling_com/status/1854507091740008823,tweet_id:1854507091740008823
The Panel,@ThePanelGDC,2024-11-07T12:50:00.000Z,True," 2028 US Presidential Election Odds  Donald Trump triumphed over Democratic candidate Kamala Harris in November's presidential election!

Who’s next in line for the White House? Check out the latest #USElections odds here ",0,0,0,147,['#USElections'],[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f5f3\\ufe0f', '\\U0001f447']",https://pbs.twimg.com/profile_images/1814270168052191233/EKylQbYH_bigger.jpg,https://x.com/ThePanelGDC/status/1854506588666745068,tweet_id:1854506588666745068
Oh! My Finance,@O_My_Finance,2024-11-07T12:38:47.000Z,False,"Trump's Return: Navigating Market Volatility and Economic Opportunity in India. 

[US Elections 2024, Donald Trump, Kamala Harris, USA, India, Stock Market, Economy, News]#uselections #USAelections #donald #donaldtrump #kamlaharris #presidential #india #indianstockmarket #Stock",0,0,0,29,"['#uselections', '#USAelections', '#donald', '#donaldtrump', '#kamlaharris', '#presidential', '#india', '#indianstockmarket', '#Stock']",[],[],https://pbs.twimg.com/profile_images/1714235628618203136/JkaTAsE9_bigger.jpg,https://x.com/O_My_Finance/status/1854503765518246389,tweet_id:1854503765518246389
Nukta Dubai,@NuktaDubai,2024-11-07T12:00:23.000Z,False,"Are you wondering which demographics voted for which candidate in the US race between Donald Trump and Kamala Harris?

Following are results from an exit poll conducted by Edison Research.#nukta #nuktadubai #trump #harris #USelections",0,0,0,16,"['#nukta', '#nuktadubai', '#trump', '#harris', '#USelections']",[],[],https://pbs.twimg.com/profile_images/1830879464726663168/vw0gtGyZ_bigger.jpg,https://x.com/NuktaDubai/status/1854494101481423068,tweet_id:1854494101481423068
DR.ALFRED.LETEMERE,@AlfredLete,2024-11-07T11:58:12.000Z,False,Vice President Kamala Harris's Concession Speech after losing to Donald Trump in 2024 US Elections.,0,0,0,42,[],[],[],https://pbs.twimg.com/profile_images/1578620993278443520/hXy2zge5_bigger.jpg,https://x.com/AlfredLete/status/1854493553776283957,tweet_id:1854493553776283957
The Nation Nigeria,@TheNationNews,2024-11-07T09:22:46.000Z,True,2024 US elections: Reasons Donald Trump defeated Kamala Harris,0,0,0,3.9K,[],[],[],https://pbs.twimg.com/profile_images/1745417869762891776/_z_YP090_bigger.jpg,https://x.com/TheNationNews/status/1854454435012841628,tweet_id:1854454435012841628
Muslim Network TV,@MuslimNetworkTV,2024-11-07T08:46:18.000Z,False,Donald Trump And Kamala Harris Agree On Need To Unify Country.#USElection2024 #USElection #USElections #KamalaHarris #DonaldTrump,0,0,0,70,"['#USElection2024', '#USElection', '#USElections', '#KamalaHarris', '#DonaldTrump']",[],[],https://pbs.twimg.com/profile_images/1728651088709001216/mc_Ew9Fa_bigger.jpg,https://x.com/MuslimNetworkTV/status/1854445258404249908,tweet_id:1854445258404249908
Brother Lawal,@BrotherLawalAS,2024-11-07T08:26:33.000Z,False,"Now that US elections are over, I have my thoughts on Kamala Harris, Donald Trump and all the “God told me this and that, God laid it in my heart, etc”……lol. I will be sharing them once I get the chance but let me submit this paper I’m writing first.",0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1832731551886450688/c0GPJsIU_bigger.jpg,https://x.com/BrotherLawalAS/status/1854440287809994799,tweet_id:1854440287809994799
