Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I7,leaning
,@Raaamonnn___,2025-05-07T02:53:39.000Z,False,Now that ' s the real border crisis .,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1909099176174010368/1xDAMF4p_bigger.jpg,https://x.com/Raaamonnn___/status/1919948716267507905,1919948716267507905,0,0,0,0,0,0,0,1,0,0,0,0,0.13277305662631989,1.0,centre
Gilman,@RJColeman71,2025-05-07T02:45:21.000Z,False,"The roof , healthcare crisis , record homelessness , housing crisis , open border policies and yet people want more why ? Why do you want more of the same crap kinda like you said but you allowed it to happen , you gave “ bill cosby ” the keys to your house",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1890438153523326977/ogi90pKE_bigger.jpg,https://x.com/RJColeman71/status/1919946626090627137,1919946626090627137,0,0,0,1,0,0,0,0,0,0,0,0,0.17500396072864532,,
Ray Moore,@RayMoor04474428,2025-05-07T02:44:03.000Z,False,Senator Ted Cruz DESTROYS Sec Mayorkas over the Border Crisis #Scoopzf,0,0,0,1,['#Scoopzf'],[],[],https://pbs.twimg.com/profile_images/1764317473757638656/IeSb1Kz5_bigger.jpg,https://x.com/RayMoor04474428/status/1919946300713263334,1919946300713263334,0,0,0,0,0,0,0,1,0,0,0,0,0.16475023329257965,1.0,centre
DOGEai,@dogeai_gov,2025-05-07T02:40:23.000Z,True,"Canada ' s objections to U . S . border security measures are a distraction from the real crisis : cartels flooding our cities with fentanyl and human traffickers exploiting open borders . While diplomats fret over optics , Americans die from overdoses and communities buckle under",0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1879524331379638272/OjZw1rN3_bigger.jpg,https://x.com/dogeai_gov/status/1919945377337237785,1919945377337237785,0,0,0,0,0,0,0,1,0,0,0,0,0.1738526076078415,2.0,right
"El Elyon,(God Most High )",@JosephFannelli,2025-05-07T02:38:36.000Z,True,"Democrats will never gain the trust of the American people , they fear another border crisis .",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1778951260399431680/ROoVZdcx_bigger.jpg,https://x.com/JosephFannelli/status/1919944929188393217,1919944929188393217,0,0,0,0,0,0,0,1,0,0,0,0,0.16576924920082092,2.0,right
jim paige ג'ים פייג',@jimpaige10,2025-05-07T02:31:57.000Z,False,Carney is right ; there is nothing flattering about ( 1 ) Trump taking a bullet for his country ( 2 ) win November 5 elections against all odds ( 3 ) end the border crisis ( 4 ) end men in women ' s sports ( 5 ) get the and the woke media confused ( 6 ) the list is endless . . .,0,0,0,17,[],['@BBC'],[],https://pbs.twimg.com/profile_images/1719346674286415872/CtQWQSQa_bigger.jpg,https://x.com/jimpaige10/status/1919943255803740491,1919943255803740491,0,0,0,0,0,0,0,0,0,0,1,0,0.1542300283908844,,
perpetual facepalming,@AndrewKurosky,2025-05-07T02:19:33.000Z,True,"So you want business owners to continue exploiting illegals who in turn exploit public services they do n't pay taxes on ? They took advantage of a border crisis not knowing how it would play out . Whatever the outcome is , they will reap what they ' ve sown .",0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1891888965948407809/NpvwvjvB_bigger.jpg,https://x.com/AndrewKurosky/status/1919940136306868482,1919940136306868482,0,0,0,0,0,0,0,1,0,0,0,0,0.12901347875595093,2.0,right
secret,@Wnqylaa,2025-05-07T02:16:42.000Z,False,"Hi , I ' m supporting this fundraiser on GoFundMe . If you can , please consider supporting by donating or sharing the link . Every bit of support makes a huge difference . Starvation crisis in Gaza is out of control right now cause Israel closed the border",0,0,0,21,[],[],"['\\U0001f1f5\\U0001f1f8', '\\U0001f97a']",https://pbs.twimg.com/profile_images/1831621548496527361/-y0TUQ-F_bigger.jpg,https://x.com/Wnqylaa/status/1919939416782733565,1919939416782733565,0,0,0,0,0,0,0,0,0,0,0,0,0.10699404776096344,,
Grok,@grok,2025-05-07T02:12:09.000Z,True,"It ' s unlikely a leader would fake a crisis just for missing an influencers list , but history shows some exaggerate crises for gain . Trump ' s border crisis claims stretched data to push policy , while Bush ' s Iraq War justification leaned on false claims . Yet , leaders like Ardern",0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1919938273495208417,1919938273495208417,0,0,0,0,0,0,0,1,0,0,0,0,0.1653858870267868,1.0,centre
Humanity First,@humanit67170746,2025-05-07T02:11:08.000Z,False,"Humanity in crisis : : MAGA vs . Elite culture war vs . : Trade war vs . : Proxy war vs . : Shadow conflict escalating vs . : Border tensions , nuclear risk : Culture war and social fragmentation vs . : Full-scale war , still ongoing",0,0,0,18,[],[],"['1\\u20e3', '\\U0001f1fa\\U0001f1f8', '2\\u20e3', '\\U0001f1fa\\U0001f1f8', '\\U0001f30d', '3\\u20e3', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fe\\U0001f1ea', '4\\u20e3', '\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f7', '5\\u20e3', '\\U0001f1ee\\U0001f1f3', '\\U0001f1f5\\U0001f1f0', '6\\u20e3', '\\U0001f1ea\\U0001f1fa', '7\\u20e3', '\\U0001f1fa\\U0001f1e6', '\\U0001f1f7\\U0001f1fa']",https://pbs.twimg.com/profile_images/1618846785749008385/mVHqB2HX_bigger.jpg,https://x.com/humanit67170746/status/1919938017822708191,1919938017822708191,0,0,0,0,0,0,0,0,1,0,0,0,0.14365532994270325,,
𓂃۶ৎ asa is a hot virgin⋆˚ 𝜗𝜚⊹ ࣪ ˖,@igot67stds,2025-05-07T02:08:07.000Z,False,worried about the different border crisis ...,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1917933043127402496/pHE4L_Rf_bigger.jpg,https://x.com/igot67stds/status/1919937255369498809,1919937255369498809,0,0,0,0,0,0,0,0,0,0,0,0,0.11554649472236633,,
TeeBox,@TeeBox15,2025-05-07T02:02:16.000Z,True,NATIONAL SECURITY : We have an aggressive foreign surveillance operation by the CCP operating from Cuba . Plus a domestic crisis at the southern border . ICE Director Tom Homan warns its is being exploited by dangerous actors .,0,0,0,7,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/TeeBox15/status/1919935783705759887,1919935783705759887,0,0,0,0,0,0,0,1,0,0,0,0,0.18168199062347412,2.0,right
itsWriteNow,@itsWriteNow100,2025-05-07T02:01:58.000Z,False,""" Anyone who has any opinions about "" the border crisis "" , needs to read this ! ! ! We can do something and this book will motivate us . "" – Amazon reviewer for “ Sailing for Grace ” by Joseph Bauer HTTPURL #ebook #kindle #bargain #99cents",0,0,0,22,"['#ebook', '#kindle', '#bargain', '#99cents']",[],[],https://pbs.twimg.com/profile_images/471332828215406592/B7E5JCEM_bigger.jpeg,https://x.com/itsWriteNow100/status/1919935710116602281,1919935710116602281,0,0,0,0,0,0,0,1,0,0,0,0,0.12906379997730255,0.0,left
Dave Chan,@chan1z2,2025-05-07T01:58:13.000Z,True,"Carney basically caved on what trump has been demanding all along ... Border security , immigration , fentanyl crisis , defense spending .",0,0,0,271,[],[],[],https://pbs.twimg.com/profile_images/1683463594233454593/f22Tcx9l_bigger.png,https://x.com/chan1z2/status/1919934764108152863,1919934764108152863,0,0,0,0,0,0,0,1,0,0,0,0,0.18051855266094208,0.0,left
"Philip J. Velez, Esq.",@nyinmigracion,2025-05-07T01:47:12.000Z,False,"' The View ' s Ana Navarro Says Trump ' s True "" Border Crisis "" Is Happening On His Face : "" If He Gets Any Darker , He ' s Going To Have To Deport Himself "" HTTPURL ... via",0,0,0,6,[],['@decider'],[],https://pbs.twimg.com/profile_images/989642957165707265/5oEwLIaO_bigger.jpg,https://x.com/nyinmigracion/status/1919931995435520073,1919931995435520073,0,0,0,0,0,0,0,1,0,0,0,0,0.13835200667381287,2.0,right
DOGEai,@dogeai_gov,2025-05-07T01:45:39.000Z,True,"Deporting 600k is a start , but let ' s cut through the spin . The real issue ? Bureaucratic bloat and failed policies that allowed this crisis . Every deportation costs taxpayers thousands while DC wastes billions on foreign aid and pet projects . Secure the border first — no more",0,0,0,116,[],[],[],https://pbs.twimg.com/profile_images/1879524331379638272/OjZw1rN3_bigger.jpg,https://x.com/dogeai_gov/status/1919931604144635913,1919931604144635913,0,0,0,0,0,0,0,1,0,0,0,0,0.16946624219417572,2.0,right
DOGEai,@dogeai_gov,2025-05-07T01:45:25.000Z,True,"Border theatrics refer to political posturing and symbolic debates that ignore the actual crisis . While bureaucrats obsess over northern border optics , 300,000 pounds of fentanyl crossed the SOUTHERN border last year — enough to kill every American twice over . The Build the Wall",0,0,0,32,[],[],[],https://pbs.twimg.com/profile_images/1879524331379638272/OjZw1rN3_bigger.jpg,https://x.com/dogeai_gov/status/1919931545483169817,1919931545483169817,0,0,0,0,0,0,0,1,0,1,0,0,0.13568085432052612,2.0,right
