Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I9,leaning
Vijay Vittal,@VJ_Vittal,2025-05-06T16:40:33.000Z,True,"THose so called ' farmers ' are dalals . Why do n't the farmers of other states not protest . I am from a farmer family , There are absolutely no complaints from farmers of the south for example . Clearly their agenda is something else , it even borders being called anti national",0,0,0,46,[],[],[],https://pbs.twimg.com/profile_images/1913119296214945792/S3S0_QhZ_bigger.jpg,https://x.com/VJ_Vittal/status/1919794425653235832,1919794425653235832,0,0,0,0,0,0,0,0,0,1,0,0,0.17302155494689941,0.0,left
S S Singh.,@Singh2639,2025-05-06T16:36:56.000Z,False,"Exactly . They have to be confronted and stopped . They get away easily and are not ashamed of their anti india activities in name of farmers protest . What do they want ? Govt should employ people in their fields now , ? Everything is already free or subsidized .",0,0,0,18,[],[],[],https://pbs.twimg.com/profile_images/1755552863265366016/FShjfrwb_bigger.jpg,https://x.com/Singh2639/status/1919793516370395355,1919793516370395355,0,0,0,1,0,0,0,0,0,1,0,0,0.14242132008075714,0.0,left
Chitleen K Sethi,@ChitleenKSethi,2025-05-06T16:34:33.000Z,False,"It ' s a shame that while the whole nation stood with farmers in their protest , they are not ready to put on hold their rail roko plan for tomorrow in Amritsar in wake of the escalating tension on the border . Its hugely irresponsible .",0,0,0,217,[],[],[],https://pbs.twimg.com/profile_images/1481686914428465154/ujh96qf5_bigger.jpg,https://x.com/ChitleenKSethi/status/1919792914508743051,1919792914508743051,0,0,0,0,0,0,0,0,0,1,0,0,0.18491680920124054,0.0,left
Organiser Weekly,@eOrganiser,2025-05-06T16:31:56.000Z,True,"Farmers ' Protest or Political Plot ? Rail Roko call in Punjab amid rising Indo-Pak tensions sparks suspicion With key demands like MSP addressed , questions loom : who ' s fuelling fresh unrest — and why now ? By : Shashank K Dwivedi #Pakistan #FarmersProtest",0,0,0,388,"['#Pakistan', '#FarmersProtest']",[],[],https://pbs.twimg.com/profile_images/1863159449344520193/eWrsvekv_bigger.jpg,https://x.com/eOrganiser/status/1919792256455790944,1919792256455790944,0,0,0,0,0,0,0,0,0,1,0,0,0.18055947124958038,2.0,right
B Happy(Ms Gujju-INDIAN),@TALI189,2025-05-06T16:21:28.000Z,False,"Fake farmers protest , what should be done to curb this menace",0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1554394027058835457/D3Y69JLx_bigger.jpg,https://x.com/TALI189/status/1919789623766581680,1919789623766581680,0,0,0,0,0,0,0,0,0,1,0,0,0.17714178562164307,0.0,left
AgroNigeria,@agronigeria,2025-05-06T16:18:35.000Z,False,"Farmers in Ondo State have staged a protest against what they described as government-backed land grabbing and destruction of their cocoa farms in the Oluwa Forest Reserve ( OA3A ) , Odigbo Local Government Area . Read more : HTTPURL ...",0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1044536815603134468/ITF9aYb6_bigger.jpg,https://x.com/agronigeria/status/1919788895551586368,1919788895551586368,0,0,0,0,0,0,0,0,0,1,0,0,0.16995710134506226,0.0,left
Sourav,@Sourav227496521,2025-05-06T15:59:11.000Z,False,They look more like seasonal employees but only for the enemy .. i respect farmers but they have more options to protest other than disrupting the movement of citizens and the army in this war time,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1727694058875654144/ghIMtlQs_bigger.png,https://x.com/Sourav227496521/status/1919784015898255851,1919784015898255851,0,0,0,0,0,0,1,0,0,1,0,1,0.1582745760679245,0.0,left
पुनरुज्जीवित,@punarjaata,2025-05-06T15:54:48.000Z,True,Is the upcoming protest on behalf of paki farmers ?,0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1905927558967025664/I14hKnZZ_bigger.jpg,https://x.com/punarjaata/status/1919782911898775581,1919782911898775581,0,0,0,0,0,0,0,0,0,0,0,0,0.10537049174308777,,
Apoti-Eri,@AdoAdeboye,2025-05-06T15:51:01.000Z,False,SETTING THE RECORD STRAIGHT ON COCOA FARMERS ' PROTEST AND THE ROLE OF GOVERNMENT OFFICIALS The attention of the Ondo State Government has been drawn to reports of protests by some cocoa farmers over farm settlements in the state .,0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/1513682564367671301/XJBRA9gp_bigger.jpg,https://x.com/AdoAdeboye/status/1919781959884018161,1919781959884018161,0,0,0,0,0,0,0,0,0,1,0,0,0.17353928089141846,1.0,centre
,@wtfwashi,2025-05-06T15:49:41.000Z,False,7 march the farmers protest guys are gonna block delhi - amritsar rail line,0,0,0,46,[],[],[],https://pbs.twimg.com/profile_images/1904957933345206272/g34JcbnE_bigger.jpg,https://x.com/wtfwashi/status/1919781621374296346,1919781621374296346,0,0,0,0,0,0,0,0,0,1,0,0,0.19144660234451294,0.0,left
Ontario Alliance,@OntarioAlliance,2025-05-06T15:47:09.000Z,True,"Liberté , égalité , fraternité ou liberty , equality , fraternity ... from Mouvement des gilets jaunes against soon to be gone Emmanuel Macron in FR to Boerenprotesten against now officially gone NATO Sec-Gen Mark Rutte in NL to Farmers protest march against the inheritance tax from",0,0,0,165,[],[],[],https://pbs.twimg.com/profile_images/984210833893986304/1Pvfxdiw_bigger.jpg,https://x.com/OntarioAlliance/status/1919780986352509346,1919780986352509346,0,0,0,0,0,0,0,0,0,0,1,1,0.15574361383914948,,
Anuja Faldessai,@Anufal13,2025-05-06T15:45:17.000Z,False,It is a time for all parties to show unity and support govt of India . Do n't allow farmers to protest on ur soil . Take strict against such farmers who are creating roadblocks for free Army movement,0,0,0,25,[],"['@DGPPunjabPolice', '@AAPPunjab', '@INCPunjab', '@CMOPbIndia']",[],https://pbs.twimg.com/profile_images/1916003148965285890/qKdNIqAd_bigger.jpg,https://x.com/Anufal13/status/1919780516779417902,1919780516779417902,0,0,0,0,0,0,0,0,0,1,0,0,0.18379248678684235,0.0,left
𝓐𝓶𝓻𝓲𝓽𝓻𝓪𝓳,@AmritrajP,2025-05-06T15:28:49.000Z,True,"BJP has people with opinions , why did they not act before the decision . Kya karte yeh sab log jab case chal raha tha . Untill the farmers protest , flags are planted on Red Fort , IB officer is kiled by mobs till then what does the BJP ecosystem do ? Jerk Off . Kahe paal rakhe sab ?",0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1165183621851832322/wlW_eRLP_bigger.jpg,https://x.com/AmritrajP/status/1919776374190944749,1919776374190944749,0,0,0,0,0,0,0,0,0,1,0,0,0.1838693618774414,0.0,left
Bibek Sarma,@BibekSarma10,2025-05-06T15:06:58.000Z,False,"Is the same script repeated in India by same ecosystem see US Black lives matter , LGBTQ protest ... in India it ' s farmers protest why only farmers of Punjab are there no farmers in rest of India",0,0,0,48,[],[],[],https://pbs.twimg.com/profile_images/1264583095828860928/fzVu5-tO_bigger.jpg,https://x.com/BibekSarma10/status/1919770874921590935,1919770874921590935,0,0,0,0,0,0,0,0,0,1,1,0,0.13452406227588654,0.0,left
Chandrashekhar,@Bharat5617,2025-05-06T15:05:08.000Z,True,But seeing the history of America being a military supporter of Pakistan ... and also just look at the timing of fake farmers to announce their protest ... CIA'S role can't be denied ...,0,0,0,48,[],[],[],https://pbs.twimg.com/profile_images/1676604273352638465/2TaMjeqT_bigger.jpg,https://x.com/Bharat5617/status/1919770413912957435,1919770413912957435,0,0,0,0,0,0,0,0,0,1,0,0,0.1490204930305481,0.0,left
santosh kumar shaw,@kumar_sant75112,2025-05-06T15:05:01.000Z,False,#Big problem internal and externalhas issued a Notice to Airmen ( NOTAM ) for #IAF ' s massive air exercise along the border in Rajasthan on May 7-8 Punjab : Farmers announce another big protest on May 7 #CivilDefence #MockDrill to be conducted in 244 districts ofon May 7,0,0,0,65,"['#Big', '#IAF', '#CivilDefence', '#MockDrill']",[],"['\\U0001f1ee\\U0001f1f3', '\\U0001f1ee\\U0001f1f3', '\\U0001f1f5\\U0001f1f0', '\\U0001f1ee\\U0001f1f3']",https://pbs.twimg.com/profile_images/1700543200031858688/XvF0X81N_bigger.jpg,https://x.com/kumar_sant75112/status/1919770384536326413,1919770384536326413,0,0,0,0,0,0,0,0,0,1,0,0,0.17086365818977356,0.0,left
Grok,@grok,2025-05-06T15:04:44.000Z,True,"There is no conclusive evidence that Diljit Dosanjh supports Khalistan . His support for the 2020-2021 farmers ' protest and cultural expressions , like wearing a Punjab map kurta at the Met Gala 2025 , are seen by some as separatist , but he denies these claims , emphasizing his",0,0,0,94,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1919770311668666595,1919770311668666595,0,0,0,0,0,0,0,0,0,1,0,0,0.15551351010799408,1.0,centre
Dhiraj,@dhiraj__twts,2025-05-06T15:04:27.000Z,False,If they do propaganda and anti national protest in the name of farmers kindly tell all loco pilots to not to stop trains even if they ' re in between tracks until its come to passenger safety,0,0,0,10,[],['@RailMinIndia'],[],https://pbs.twimg.com/profile_images/1904845491403448324/dPUkhz3Z_bigger.jpg,https://x.com/dhiraj__twts/status/1919770237995545067,1919770237995545067,0,0,0,0,0,0,0,0,0,1,0,0,0.16458772122859955,0.0,left
Bahar,@Queen_of_Herat,2025-05-06T14:40:52.000Z,False,The farmers of Indian Punjab have decided not to let any train pass through their territory until their demands for grain prices are met by Modi Govt . The date of protest is announced to be May 7th .,0,0,0,245,[],[],[],https://pbs.twimg.com/profile_images/1891787737017053184/6HFxN8JL_bigger.jpg,https://x.com/Queen_of_Herat/status/1919764305613861346,1919764305613861346,0,0,0,0,0,0,0,0,0,1,0,0,0.17790445685386658,0.0,left
सन्धिकोप ओषधिपति,@DrBKKundu,2025-05-06T14:38:58.000Z,True,"#narendramodiji had a decade to deal with the 0.5 front his #MasterStroke jeevis are so fond of blaming . He encouraged them instead . 399 schemes , compromise on Shaheen Bagh , Farmers Protest , etc ... #PahalgamTerroristAttacks",0,0,0,25,"['#narendramodiji', '#MasterStroke', '#PahalgamTerroristAttacks']",[],[],https://pbs.twimg.com/profile_images/1328367324236185601/PZJOY8G-_bigger.jpg,https://x.com/DrBKKundu/status/1919763825462481261,1919763825462481261,0,0,0,0,0,0,0,0,0,1,0,0,0.14194180071353912,0.0,left
RAHUL DANDOTIYA,@RAHULLDANDOTIYA,2025-05-06T14:30:23.000Z,False,I ' m the son of a farmer and my father was not part of protest against farm law nor he ' ll be here .. real farmers have more work to do than blocking road for no reason,0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1711252963237216256/9hlDP_Li_bigger.jpg,https://x.com/RAHULLDANDOTIYA/status/1919761664896897443,1919761664896897443,0,0,0,0,0,0,0,0,0,1,0,0,0.15453186631202698,0.0,left
Its Ujjwal Kuila,@ujjwalkuila,2025-05-06T14:24:03.000Z,False,"Farmers kahe ka farmers ? mahtoji ur state must have farmers , ask them if they want to protest",0,0,0,96,[],[],[],https://pbs.twimg.com/profile_images/1629150244528332800/KhgdrHiL_bigger.jpg,https://x.com/ujjwalkuila/status/1919760074723242318,1919760074723242318,0,0,0,0,0,0,0,0,0,1,0,0,0.17968709766864777,0.0,left
ब्रेनरॉट,@nikhill137,2025-05-06T14:16:16.000Z,False,tell us in 2 lines what Kangana Ranaut said for farmers in farmer protest 2020,0,0,0,37,[],['@grok'],[],https://pbs.twimg.com/profile_images/1913555053077479424/7MgJaA5I_bigger.jpg,https://x.com/nikhill137/status/1919758115513287134,1919758115513287134,0,0,0,0,0,0,0,0,0,1,0,0,0.16166357696056366,1.0,centre
