Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I9,leaning
Barry,@Barry86808882,2025-05-07T02:25:36.000Z,False,There was no pandemic . Covid 19 does not exist .,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1820046948922957824/X-5Yux9y_bigger.jpg,https://x.com/Barry86808882/status/1919941657857831235,1919941657857831235,0,0,0,0,0,0,0,0,0,0,0,0,0.09601445496082306,,
The Washington Times,@WashTimes,2025-05-07T02:25:04.000Z,True,Critic of drug industry and COVID - 19 measures Dr . Vinay Prasad to lead FDA vaccine programhttps :/ / trib.al/bTs4Ha7,0,0,0,255,[],[],[],https://pbs.twimg.com/profile_images/1755281859146080256/D-S95q4t_bigger.png,https://x.com/WashTimes/status/1919941521219997949,1919941521219997949,0,0,0,0,0,0,0,0,0,0,0,0,0.08640020340681076,,
Huetz Philippe,@PhilippeHuetz,2025-05-07T02:25:00.000Z,False,Babies ' Damaged ' by COVID - 19 Jabs - To be recalledhttps :/ / jonfleetwood.substack.com/p/veteran-obgyn-calls-on-lawyers-to ...,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1800685883735064576/ShZeuQOU_bigger.jpg,https://x.com/PhilippeHuetz/status/1919941507097772147,1919941507097772147,0,0,0,0,0,0,0,0,0,0,0,0,0.118048295378685,,
長谷川淳史,@TMS_Japan,2025-05-07T02:24:56.000Z,True,これがどうかしましたか ？ COVID - 19の拡大を抑制するための公衆衛生戦略として 、 マスク着用の重要性を再確認させるもので 、 私の主張を裏付けている論文ですよね 。,0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1896016975807041537/ZyTdD2ZV_bigger.jpg,https://x.com/TMS_Japan/status/1919941491096424826,1919941491096424826,0,0,0,0,0,0,0,0,0,0,0,0,0.08813083916902542,,
Covid Is Over!,@Covid_19_Hoax,2025-05-07T02:24:51.000Z,False,why do n't we put tariffs on all the woke Hollywood crap that is coming into Australia then ?,0,0,0,3,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1882337038105722880/sSesuPNO_bigger.jpg,https://x.com/Covid_19_Hoax/status/1919941467654549993,1919941467654549993,0,0,0,0,0,0,0,0,0,1,0,0,0.15903834998607635,0.0,left
neopapers,@neo_papers,2025-05-07T02:24:14.000Z,False,"Cystic Fibrosis Learning Network Telehealth Innovation Lab During the COVID - 19 Pandemic : Impact on Access to Care , Outcomes , and a New CF Care Model #neoTwitter",0,0,0,9,['#neoTwitter'],[],[],https://pbs.twimg.com/profile_images/1314016941263196161/4xsy3Mym_bigger.jpg,https://x.com/neo_papers/status/1919941312159076616,1919941312159076616,0,0,0,1,0,0,0,0,0,0,0,0,0.19274112582206726,,
猫好きお爺さんです。,@pkfujisukeroku,2025-05-07T02:24:05.000Z,True,"安全性を確認せず導入されてしまった 5G , 安全性を確認せず使用されたCovid ' 19似非ワクチン同様人々に健康被害を及ぼすようだから安全性を確認すべきなんだ 。",0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1807609758523998208/Ht_D8k4-_bigger.jpg,https://x.com/pkfujisukeroku/status/1919941274192224660,1919941274192224660,0,0,0,0,0,0,0,0,0,0,0,0,0.10458012670278549,,
"Fired for ""COVID-19"".",@fired4covid,2025-05-07T02:23:54.000Z,False,I ' d be happy to let it go . I want to know why Canadians can't hire . I ' d like to see more of these glorified real estate agents that have made tons of money for years on end . Make a #careerchange . And let a #Lawyer into that seat . #onpoli #cdnpoli #canpoli #BurlON #Mississauga,0,0,0,6,"['#careerchange', '#Lawyer', '#onpoli', '#cdnpoli', '#canpoli', '#BurlON', '#Mississauga']",[],[],https://pbs.twimg.com/profile_images/1896572902524231680/9YqOW33f_bigger.jpg,https://x.com/fired4covid/status/1919941229887803872,1919941229887803872,0,0,0,0,0,0,0,0,0,1,0,0,0.13325555622577667,0.0,left
Care 4 COVID-19 Crisis,@care_crisis,2025-05-07T02:23:34.000Z,False,"#ישראל / #פלסטין / #עזה / #תל_אביב / #Palestine / #Gaza / #Israel / #TelAviv / Please end the war ... ! ! ! I ' m a Japanese . You & me are human , same , also them . Please think about children & women and the war separately . And , know that #GazaStarving & #GazaUnderAttack are danger for #hostages .",0,0,0,16,"['#ישראל', '#פלסטין', '#עזה', '#תל_אביב', '#Palestine', '#Gaza', '#Israel', '#TelAviv', '#GazaStarving', '#GazaUnderAttack', '#hostages']",[],[],https://pbs.twimg.com/profile_images/1442151718536417281/SCoEdG9q_bigger.png,https://x.com/care_crisis/status/1919941143803879478,1919941143803879478,0,0,0,0,0,0,0,0,1,0,0,0,0.18034180998802185,,
Covid Is Over!,@Covid_19_Hoax,2025-05-07T02:23:28.000Z,False,"She ' ll try to get elected in Victoria parliament in 2 years time , these far left Communists wont give up .",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1882337038105722880/sSesuPNO_bigger.jpg,https://x.com/Covid_19_Hoax/status/1919941122228420624,1919941122228420624,1,0,0,0,0,0,0,0,0,0,0,0,0.19127993285655975,,
