Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I8,leaning
noor,@024warpath,2025-05-09T18:44:32.000Z,False,im not having twitter beef about war crimes dont speak to me,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1919826242779426816/pZVm-XiD_normal.jpg,https://x.com/024warpath/status/1920912788366508491,1920912788366508491,0,0,0,0,0,0,0,0,0,0,0,0,0.10745023190975189,,
Mahmud,@md7mahmud,2025-05-09T18:44:32.000Z,False,Rules of war in Islam .,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1844600933155831808/hMhgrFlZ_normal.jpg,https://x.com/md7mahmud/status/1920912788186181770,1920912788186181770,0,0,0,0,0,0,0,0,0,0,0,0,0.09627945721149445,,
Drew Peacock,@DrewPea67303737,2025-05-09T18:44:31.000Z,False,He said he ' d end the war in Ukraine on day one : Fail .,0,0,0,0,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/DrewPea67303737/status/1920912783803027465,1920912783803027465,0,0,0,0,0,0,0,0,1,0,0,0,0.19596515595912933,1.0,centre
Venkateswara Reddy,@venky999trisul,2025-05-09T18:44:30.000Z,False,And ilanti time lo meeru ila posts pedithe army valla morale yentha down avudho telusaa . You r literally questioning their sacrifices by saying war is not necessary,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1714224773956620288/NY2rYLci_normal.jpg,https://x.com/venky999trisul/status/1920912781873754366,1920912781873754366,0,0,0,0,0,0,0,0,1,0,0,0,0.1958678513765335,2.0,right
𝗛𝗮𝗻𝘀 𝗗𝗶𝗲𝘁𝗲𝗿 𝗙𝗹𝗶𝗰𝗸,@ClasslessCULE,2025-05-09T18:44:30.000Z,False,"Ispr bots posting A major rank officer with Harop drone capping as "" War Trophy "" Although the warhead was missing there , next level delusion Natsjeceff reporting Pak has shot down that",0,0,0,0,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1920421963891093504/Gdt-gM_d_normal.jpg,https://x.com/ClasslessCULE/status/1920912780309270894,1920912780309270894,0,0,0,0,0,0,0,0,1,0,0,0,0.18748795986175537,1.0,centre
ྀི wiwi .ᐟ will see skz ⋆˚.⋆,@wiwiskz,2025-05-09T18:44:30.000Z,False,war is the worst thing that is possible its my biggest fear praying for everyone affected by it,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1907190316613918720/tou-C6Gp_normal.jpg,https://x.com/wiwiskz/status/1920912779721982265,1920912779721982265,0,0,0,0,0,0,0,0,1,0,0,0,0.1690996140241623,2.0,right
lewis,@Lewis_B91,2025-05-09T18:44:29.000Z,True,She ' s not old enough to have a grand parent who was a pilot in the war lol . One day it ' s free Palestine and fuck everything about Britain the next it ' s her making up fairy tales about her grandmother being a pilot in WW2 . Exhausting,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1296285745024503809/1Ps1QAOC_normal.jpg,https://x.com/Lewis_B91/status/1920912777993977912,1920912777993977912,0,0,0,0,0,0,0,0,0,0,0,0,0.10611850768327713,,
Der Verrückte Mutmacher,@DMutmacher,2025-05-09T18:44:29.000Z,False,"Junge du betreibst fucking victim blaming ! Antisemitismus ist nicht die Schuld von Juden ! Rassismus ist nicht die Schuld von Erithräern , die während eines Festivals in Deutschland eskalieren ! etc . Das war definitiv falsch von dir . Und das solltest du hart aufarbeiten .",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1326133785994387458/e6Ckya_E_normal.jpg,https://x.com/DMutmacher/status/1920912775460585535,1920912775460585535,0,0,0,0,0,0,0,0,0,0,1,0,0.15056055784225464,,
alice,@fIowerykook,2025-05-09T18:44:29.000Z,False,""" turning it into gender war "" yeah you can go to hell actually",0,0,0,0,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1912568099674472448/5W4xxhWp_normal.jpg,https://x.com/fIowerykook/status/1920912775204798899,1920912775204798899,0,0,0,0,0,0,0,0,0,0,0,0,0.1280103176832199,,
Joel Pollak,@joelpollak,2025-05-09T18:44:28.000Z,True,Exclusive - - Steve Witkoff Shreds His ‘ Total Fake News ' Critics : ‘ The Neocon Element Believes That War Is the Only Way to Solve Things ' HTTPURL ... via,0,0,0,0,[],['@BreitbartNews'],[],https://pbs.twimg.com/profile_images/1351924042471641089/SYATOoHa_normal.jpg,https://x.com/joelpollak/status/1920912774328205747,1920912774328205747,0,0,0,0,0,0,0,0,1,0,0,0,0.19222168624401093,2.0,right
Cape of good hope,@capeofgood91,2025-05-09T18:44:28.000Z,False,The war will not fought with emotions .,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1710672700694249472/na3FEF-__normal.jpg,https://x.com/capeofgood91/status/1920912771501154411,1920912771501154411,0,0,0,0,0,0,0,0,1,0,0,0,0.18821167945861816,2.0,right
မြန်မာ,@Freedom4Myanmar,2025-05-09T18:44:28.000Z,False,"They wage war in the name of their "" religion "" . When they lose they pull the victim card , cry "" genocide "" at ICC / J",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1589549642311770112/HRRkkl3S_normal.jpg,https://x.com/Freedom4Myanmar/status/1920912770679111919,1920912770679111919,0,0,0,0,0,0,0,0,0,0,1,1,0.1502349078655243,,
akp,@akp_iit,2025-05-09T18:44:26.000Z,False,what nonsense you are talking ... lagta h congress ne kasam kha li h ki war k time v logon ko gumrah karne ka kaam karega ese jhooth ka narrative fela k,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1814913009522737153/wN8phKmz_normal.jpg,https://x.com/akp_iit/status/1920912764089893295,1920912764089893295,0,0,0,0,0,0,0,0,1,0,0,0,0.16602815687656403,1.0,centre
Mostafa Zommo,@MZommo,2025-05-09T18:44:25.000Z,False,"Kushner , a Zionist who calls Netanyahu the indicted War criminal , Uncle Bibi is to advise on the ME is the height of absurdity ! Kushner who said Gazans should be removed from this valuable waterfront property ! America is NOT free of brave with these Zionists running America !",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/471805633641984000/w-cBwg0-_normal.jpeg,https://x.com/MZommo/status/1920912760285618625,1920912760285618625,0,0,0,0,0,0,0,0,1,0,0,0,0.14730332791805267,2.0,right
Vitória ☂︎| cr: Poppy War,@Vi_simpdochuuya,2025-05-09T18:44:25.000Z,True,Neném,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1909726456856424448/9Rz34AYH_normal.jpg,https://x.com/Vi_simpdochuuya/status/1920912759480344820,1920912759480344820,0,0,0,0,0,0,0,0,0,0,0,0,0.0871274322271347,,
Caoimhín,@Caoimhinbaron,2025-05-09T18:44:25.000Z,True,& you only want warmongerers that pimp for Israel and any other war you can support . Have you ever thought of putting Arkansas before Bibi Tom ?,0,0,0,0,[],['@TomCottonAR'],[],https://pbs.twimg.com/profile_images/1337106133362896897/Wct8fgqo_normal.jpg,https://x.com/Caoimhinbaron/status/1920912758716977557,1920912758716977557,0,0,0,0,0,0,0,0,1,0,0,0,0.18502995371818542,2.0,right
updates of war,@GoJammukashmir,2025-05-09T18:44:25.000Z,True,"I m not well sleeping now , follow me before you sleep",0,0,0,0,[],[],['\\U0001f634'],https://pbs.twimg.com/profile_images/1569203441515532288/esOepHO6_normal.jpg,https://x.com/GoJammukashmir/status/1920912758662410419,1920912758662410419,0,0,0,0,0,0,0,0,0,0,0,0,0.0885760635137558,,
Bikershirts24,@BikerShirts24,2025-05-09T18:44:25.000Z,False,"Erinnerung : Mein erstes Motorrad eine #Honda XBR 500 mit 27 PS und Harley Sound :-) War über Nockenwelle gedrosselt und hatte mächtige Fehlzündungen , ganz zur "" Freude "" der Kumpels hinter mit :-) Hier eine der ersten Touren zum Camping nach Holland . Mit dabei eine Honda CM400",0,0,0,0,['#Honda'],[],[],https://pbs.twimg.com/profile_images/1863642936786722816/5YMES9MM_normal.jpg,https://x.com/BikerShirts24/status/1920912758180118706,1920912758180118706,0,0,0,0,0,0,0,0,0,0,0,0,0.0878245159983635,,
大连线下|上门,@JessicaWar60170,2025-05-09T18:44:24.000Z,False,N � �,0,0,0,0,[],[],"['\\U0001f38a', '\\U0001f339', '\\U0001f38c', '\\U0001f490', '\\U0001f48e', '\\U0001f389', '\\U0001f389', '\\U0001f31f', '\\U0001f490', '\\U0001f338', '\\U0001f38c']",https://pbs.twimg.com/profile_images/1862118207160541184/JPIFfRCc_normal.png,https://x.com/JessicaWar60170/status/1920912757462892890,1920912757462892890,0,0,0,0,0,0,0,0,0,0,0,0,0.08923781663179398,,
