Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,max_confidence,I8,leaning
UFHealth Whistleblower Kathleen Maynard,@IhoPwaitress74,2025-05-10T01:32:37.000Z,True,"Why does the Trump administration keep harping on "" illegal aliens "" ? It ' s a cover for their plan to come after American citizens next , including citizens who dare criticize Israel ' s US-backed war crimes in Palestine .",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1787003042476269568/3zE2NU4V_normal.jpg,https://x.com/IhoPwaitress74/status/1921015487137268099,1921015487137268099,0,0,0,0,0,0,0,1,1,0,0,0,0.15382342040538788,2.0,right
Christian Martin,@ChristianM_28,2025-05-10T01:32:19.000Z,True,War is not a solution to any problem neither is terrorism . Leaders of both countries Israel and Palestine as well as Hamas should have peace talks with each other to resolve this issue and end the long-lasting conflict .,0,0,0,15,[],"['@Israel', '@IDF', '@netanyahu', '@PalestinePMO', '@Palestine']","['\\U0001f1ee\\U0001f1f1', '\\U0001f1f5\\U0001f1f8']",https://pbs.twimg.com/profile_images/1914159956846051328/rRDKr_ub_normal.jpg,https://x.com/ChristianM_28/status/1921015410649923698,1921015410649923698,0,0,0,0,0,0,0,0,1,0,0,0,0.1929701566696167,2.0,right
inanimate carbon rod,@punished_woff,2025-05-10T01:31:52.000Z,False,Natural state for the beginnings of a war . It was the exact same with Israel / Palestine and Russia / Ukraine .,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1893827571965390848/jOQKzJEO_normal.jpg,https://x.com/punished_woff/status/1921015298716512638,1921015298716512638,0,0,0,0,0,0,0,0,1,0,0,0,0.1966385543346405,2.0,right
raka,@cantwontthink,2025-05-10T01:30:24.000Z,False,"as long as pak attacks our populated cities - false flag , fake attacks , attacking own people the moment we retaliate in military area - world is watching , zionist , israel , india wants war , palestine",0,0,0,84,[],[],[],https://pbs.twimg.com/profile_images/1820505216648970240/k-r8C2q5_normal.jpg,https://x.com/cantwontthink/status/1921014931018653735,1921014931018653735,0,0,0,0,0,0,0,0,1,0,0,0,0.18665313720703125,2.0,right
MrHabbo,@habbo376006,2025-05-10T01:28:53.000Z,False,"Trump : i love Israel , let ' s nuke Gaza ( Trump two days later ) Trump : I have declared an eternal war against the state of Israel , long live Hamas ! Death to Israel long live Palestine",0,0,0,41,[],[],[],https://pbs.twimg.com/profile_images/1897505584435318784/cbCHiekL_normal.jpg,https://x.com/habbo376006/status/1921014548611436657,1921014548611436657,0,0,0,0,0,0,0,0,1,0,0,0,0.1812627911567688,2.0,right
MtM,@MtMarf,2025-05-10T01:27:49.000Z,False,So Ukraine war = goodIsrael-Palestine war = bad Got it,0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/2459629518/image_normal.jpg,https://x.com/MtMarf/status/1921014277499924760,1921014277499924760,0,0,0,0,0,0,0,0,1,0,0,0,0.19283680617809296,2.0,right
Grok,@grok,2025-05-10T01:26:57.000Z,True,"Between 1948 and 1967 , Israel controlled about 78.9 % of Mandate Palestine ( 20,770 sq km ) after the 1948 war , expanding beyond the UN Partition Plan ' s 56 % . In 1967 , Israel occupied the West Bank and Gaza ( 6,225 sq km ) . Estimates suggest 10,000- 15,000 Palestinians were killed in",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1921014058943476058,1921014058943476058,0,0,0,0,0,0,0,0,1,0,0,0,0.13288110494613647,1.0,centre
All I Do Is Win,@Winning24365,2025-05-10T01:26:27.000Z,False,It was always Israel . This is n't even debatable . And it is n't stealing when there is no such thing as Palestine or Palestinians . Those are just made up terms for three different war tribes . It is n't the west trying to ethnically cleanse . It ' s the ones chanting “ from the river ”,0,0,0,9,[],[],[],https://pbs.twimg.com/profile_images/1802740396981895168/KdBIwiF8_normal.jpg,https://x.com/Winning24365/status/1921013936838578261,1921013936838578261,0,0,0,0,0,0,0,0,0,0,0,0,0.10617667436599731,,
Ask Perplexity,@AskPerplexity,2025-05-10T01:25:44.000Z,True,"Between 1948 and 1967 , Israel controlled about 78 % of historic Palestine-territory it captured during the 1948 Palestine war , also known as the Nakba , when over 700,000 Palestinians were expelled or fled and more than 400 – 600 Palestinian villages were destroyed . Estimates of",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1883596510858006528/fvRvFT2g_normal.jpg,https://x.com/AskPerplexity/status/1921013753908183547,1921013753908183547,0,0,0,0,0,0,0,0,1,0,0,0,0.1667047142982483,1.0,centre
bubblegum,@bubblegum75757,2025-05-10T01:19:02.000Z,False,We are losing the narrative war on TikTok a bunch of Pakistan are starting to compare India with Israel and Kashmir to Palestine . We need a group of 15-20 TikTok with American accents responding in a laid back manner no editing,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1892935070031183872/8NCfncQw_normal.jpg,https://x.com/bubblegum75757/status/1921012069287039300,1921012069287039300,0,0,0,0,0,0,0,0,0,0,0,0,0.10590741038322449,,
